     ,01_game_name                                                                      ,02_hltb_name                                                                       ,03_hltb_id ,04_time_main ,05_time_plus ,06_time_100 ,07_time_allstyle ,08_count_main ,09_count_plus ,10_count_100 ,11_count_allstyle ,12_count_completed ,13_count_speedrun ,14_count_backlog ,15_count_playing ,16_count_retired ,17_review_score ,18_count_review ,collection                                        ,follows ,game_engines                   ,genre1                     ,genre2                     ,genre3                     ,keywords1                    ,keywords2                          ,keywords3                     ,keywords4                         ,keywords5                                             ,name                                                       ,rating            ,rating_count ,themes1                                          ,themes2         ,themes3                                          ,themes4                                          ,themes5
  25 ,The Longest Journey                                                               ,the longest journey                                                                ,     10053 ,       63041 ,       74942 ,      77029 ,           70016 ,          132 ,           47 ,          59 ,              238 ,               742 ,                1 ,            1905 ,              14 ,             119 ,             84 ,            192 ,The Longest Journey                               ,   61.0 ,                               ,Point-and-click            ,Adventure                  ,                           ,cyberpunk                    ,time travel                        ,puzzle solving                ,immortality                       ,detective                                             ,The Longest Journey                                        ,83.52195463427609 ,       153.0 ,Action                                           ,Action          ,Science fiction                                  ,Mystery                                          ,
  26 ,Renowned Explorers International Society                                          ,renowned explorers: international society                                          ,     29924 ,       19666 ,       68374 ,     206018 ,           32921 ,           28 ,           15 ,           1 ,               44 ,               173 ,                0 ,            1090 ,              11 ,             102 ,             71 ,             34 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
  27 ,Chronicles of a Dark Lord Episode 1 Tides of Fate Complete                        ,                                                                                   ,           ,             ,             ,            ,                 ,              ,              ,             ,                  ,                   ,                  ,                 ,                 ,                 ,                ,                ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
  28 ,Grim Legends 2 Song of the Dark Swan                                              ,grim legends 2: song of the dark swan                                              ,     26225 ,       10789 ,       15342 ,      18999 ,           16057 ,           18 ,           29 ,          35 ,               82 ,               213 ,                0 ,             314 ,               6 ,              13 ,             68 ,             32 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
  29 ,Saints Row IV                                                                     ,saints row iv                                                                      ,     12650 ,       54943 ,       88768 ,     130535 ,           85968 ,          446 ,          869 ,         285 ,             1600 ,              5955 ,                6 ,            5803 ,             101 ,             690 ,             75 ,           1099 ,Saints Row                                        ,  126.0 ,Custom built engine            ,Shooter                    ,Adventure                  ,                           ,aliens                       ,super hero                         ,assassin                      ,skateboard                        ,motorcycle                                            ,Saints Row IV                                              ,75.116683346267   ,       388.0 ,Action                                           ,Action          ,Comedy                                           ,Sandbox                                          ,Open world
  30 ,Electronic Super Joy                                                              ,electronic super joy                                                               ,     13406 ,       11431 ,       24078 ,      61380 ,           15594 ,           74 ,           26 ,           6 ,              106 ,               343 ,                1 ,            1042 ,               7 ,             196 ,             70 ,             75 ,Electronic Super Joy                              ,    0.0 ,                               ,Shooter                    ,Music                      ,Platform                   ,                             ,                                   ,                              ,                                  ,                                                      ,Electronic Super Joy                                       , 0.0              ,         0.0 ,Action                                           ,Action          ,                                                 ,                                                 ,
  31 ,The Walking Dead Season Two                                                       ,                                                                                   ,           ,             ,             ,            ,                 ,              ,              ,             ,                  ,                   ,                  ,                 ,                 ,                 ,                ,                ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
  32 ,Gemini Rue                                                                        ,gemini rue                                                                         ,      3876 ,       24654 ,       28671 ,      38743 ,           26390 ,          144 ,           56 ,          24 ,              224 ,               602 ,                0 ,            1974 ,              11 ,             132 ,             77 ,            146 ,                                                  ,   24.0 ,Adventure Game Studio          ,Point-and-click            ,Adventure                  ,Indie                      ,neo noir                     ,cyberpunk                          ,blood                         ,stealth                           ,space station                                         ,Gemini Rue                                                 ,85.7392574338486  ,        65.0 ,Science fiction                                  ,Science fiction ,                                                 ,                                                 ,
  33 ,The Secret World                                                                  ,the secret world                                                                   ,     10163 ,      109200 ,      811936 ,    1965749 ,          820252 ,            3 ,            9 ,           3 ,               15 ,                82 ,                0 ,             899 ,              17 ,             463 ,             73 ,             32 ,                                                  ,   11.0 ,DreamWorld                     ,Role-playing (RPG)         ,Adventure                  ,                           ,chainsaw                     ,time travel                        ,puzzle solving                ,vampire                           ,magic                                                 ,The Secret World                                           ,74.85055394179119 ,        18.0 ,Action                                           ,Action          ,Science fiction                                  ,Horror                                           ,Historical
  34 ,Franchise Hockey Manager 2                                                        ,franchise hockey manager 2                                                         ,     34320 ,           0 ,           0 ,          0 ,               0 ,            0 ,            0 ,           0 ,                0 ,                 0 ,                0 ,               7 ,               0 ,               6 ,             10 ,              1 ,                                                  ,    0.0 ,                               ,Simulator                  ,Sport                      ,Strategy                   ,                             ,                                   ,                              ,                                  ,                                                      ,Franchise Hockey Manager 2                                 ,50.0              ,         1.0 ,Business                                         ,                ,                                                 ,                                                 ,
  35 ,IL-2 Sturmovik Battle of Stalingrad                                               ,il-2 sturmovik: battle of stalingrad                                               ,     29174 ,      118800 ,           0 ,          0 ,          118800 ,            1 ,            0 ,           0 ,                1 ,                 2 ,                0 ,              82 ,               7 ,               6 ,              0 ,              0 ,                                                  ,        ,                               ,                           ,                           ,                           ,                             ,                                   ,                              ,                                  ,                                                      ,                                                           ,                  ,             ,                                                 ,                ,                                                 ,                                                 ,
  36 ,Cloud Chamber                                                                     ,cloud chamber                                                                      ,     22157 ,       19920 ,       22320 ,      44910 ,           26137 ,            5 ,            2 ,           2 ,                9 ,                15 ,                0 ,             107 ,               1 ,               9 ,             58 ,              5 ,                                                  ,    0.0 ,Unity                          ,Adventure                  ,                           ,                           ,sci-fi                       ,adventure                          ,steam                         ,online                            ,steam trading cards                                   ,Cloud Chamber                                              , 0.0              ,         0.0 ,Science fiction                                  ,                ,                                                 ,                                                 ,
